GEOID,land_perc,food1,food2,life,mw,cg,metrolink,tract_area,bike_len,bike_cnt,park1,park2,park1ratio,park2ratio,walk,unins
29510118600,1,0.109981321,0.054030558,78.7,9,3,1,2737928.309,7722.069275,19,69856.239,5170704.255,0.025514269,1.888546255,14.8335,13.8
29510113500,1,0,0,79.5,8,1,0,1797195.894,2793.210199,5,20470.251,20470.251,0.011390106,0.011390106,14.08325,7
29510117100,1,0.360143911,0.108762261,74.8,9,1,0,1083051.549,2844.424917,9,0,0,0,0,14.4165,4.8
29510115700,0.913975882,0,0,70.3,5,0,0,1049322.377,2471.692395,6,103151.712,109545.475,0.098303166,0.104396397,14.0835,17.8
29510121200,1,0,0,72,1,4,0,865135.419,1352.60123,2,52153.962,52153.962,0.06028416,0.06028416,16,7.4
29510121100,1,0.138607936,0.097436375,73,2,1,0,1098449.804,4111.637027,15,0,0,0,0,19.167,12
29510115200,1,0,0,76,1,0,0,1348663.319,3334.738183,8,9350.725,9350.725,0.006933328,0.006933328,14.611,17.3
29510108200,1,0,0,67.1,1,1,0,816931.052,3574.946941,8,0,0,0,0,14.1665,13.5
29510108300,1,0,0,67.2,0,0,0,748499.503,2397.855572,9,0,0,0,0,13.778,21
29510112400,1,0,0,77,1,0,0,938488.125,3756.618824,9,635.025,635.025,0.000676647,0.000676647,15.66666667,8.4
29510115300,1,0,0,75.3,3,0,0,1655618.112,2721.726866,5,0,0,0,0,12.8666,17.1
29510117200,1,0.02079319,0.009178976,78.3,17,4,0,1267490.838,1350.649802,3,0,0,0,0,11.4445,4.9
29510109700,0.866822157,0,0,65.5,4,2,0,4043565.859,3843.438196,8,14160.145,14160.145,0.003501895,0.003501895,14.04175,9.8
29510106200,1,0.215869279,0.15943829,71.3,2,2,0,1078882,1863.685913,4,57614.652,57614.652,0.053402181,0.053402181,13.111,8.4
29510109600,0.909596511,0,0,73.9,2,2,0,3133440.131,3163.018835,7,535033.731,535033.731,0.170749626,0.170749626,12.9,10.9
29510118100,1,0.504141474,0.293039712,69.4,4,4,0,1563875.444,2274.034645,4,9158.848,9158.848,0.005856507,0.005856507,13.167,19.6
29510117400,1,0,0,75.1,16,2,0,1146090.06,2667.954394,6,0,0,0,0,13.6945,9.5
29510126700,0.829330787,0,0,72.4,3,1,0,2682378.186,4391.011979,13,48243.359,48243.359,0.017985294,0.017985294,13.333,28.1
29510119102,1,0,0,75.1,1,0,0,581753.631,1721.700676,6,866.068,866.068,0.00148872,0.00148872,15.50025,4.9
29510126800,0.99947606,0.165455435,0.048552395,77.8,9,1,0,2794214.226,3374.432734,9,53869.186,53869.186,0.019278832,0.019278832,13.875,9.2
29510126900,1,0.156092054,0.103077431,71,1,0,0,4337090.056,6552.522584,11,119598.976,246252.758,0.027575857,0.056778336,13.5835,19.8
29510127000,0.685245242,0.500820021,0.365672613,74.5,1,0,0,14999042.87,4125.461384,8,998081.297,1009021.839,0.066542999,0.067272415,12.1665,23.9
29510127400,0.938337225,0.454061361,0.251457035,75.6,7,2,0,3531152.613,10921.58559,38,19335.52,20184.995,0.005475696,0.005716262,17.05566667,10.3
29510123100,1,0.366869911,0.186472978,76.3,5,5,0,1031078.281,4882.751061,14,29546.265,29546.265,0.028655695,0.028655695,15.625,7.9
29510126600,0.845340958,0.026685739,0.015006803,73,11,6,0,3764830.542,7981.587154,16,17504.567,17504.567,0.004649497,0.004649497,17.66666667,19.8
29510114102,1,0,0,79.4,8,3,0,1586578.029,2591.050799,6,230920.498,230920.498,0.14554626,0.14554626,15.75,3.9
29510116302,1,0,0,70,1,0,0,616386.581,1534.142152,4,13481.379,13481.379,0.02187163,0.02187163,13.611,21.6
29510116301,1,0,0,80.5,5,0,0,645642.791,1550.568314,6,0,0,0,0,13.889,12.8
29510119101,1,0,0,74.5,1,1,0,506374.859,1449.361713,9,0,0,0,0,14.55566667,7.5
29510114101,1,0,0,76.3,5,0,0,949541.579,2197.492534,3,0,0,0,0,13.16675,9.9
29510127100,1,0,0,71.6,4,1,0,1741682.891,2071.510446,4,75486.779,75486.779,0.043341288,0.043341288,16.722,17.9
29510127200,1,0,0,78.6,5,5,0,2019019.702,4024.042178,12,46107.559,46107.559,0.022836607,0.022836607,14.12525,5
29510127300,1,0.286851817,0.124753594,73.1,5,3,0,2140385.646,4673.07959,11,143035.756,143035.756,0.066827096,0.066827096,13.87525,10
29510127500,1,0.101174169,0.045774666,73.9,4,4,0,1771935.377,6077.990118,15,73267.16,73267.16,0.041348664,0.041348664,18.3335,14.7
29510127600,0.790582542,0.704900447,0.23803349,77.12,9,3,0,3757067.814,6236.607192,17,46590.392,56266.684,0.012400732,0.014976223,17.27766667,6.8
